date,index_close,ticker
2014-01-02,3286.68994140625,^SP500TR
2014-01-03,3285.679931640625,^SP500TR
2014-01-06,3277.47998046875,^SP500TR
2014-01-07,3297.449951171875,^SP500TR
2014-01-08,3297.739990234375,^SP500TR
2014-01-09,3298.8701171875,^SP500TR
2014-01-10,3306.489990234375,^SP500TR
2014-01-13,3265.27001953125,^SP500TR
2014-01-14,3300.610107421875,^SP500TR
2014-01-15,3317.75,^SP500TR
2014-01-16,3313.360107421875,^SP500TR
2014-01-17,3300.510009765625,^SP500TR
2014-01-21,3309.739990234375,^SP500TR
2014-01-22,3312.0400390625,^SP500TR
2014-01-23,3282.639892578125,^SP500TR
2014-01-24,3214.139892578125,^SP500TR
2014-01-27,3198.570068359375,^SP500TR
2014-01-28,3218.2099609375,^SP500TR
2014-01-29,3185.699951171875,^SP500TR
2014-01-30,3221.780029296875,^SP500TR
2014-01-31,3200.949951171875,^SP500TR
2014-02-03,3127.8701171875,^SP500TR
2014-02-04,3151.93994140625,^SP500TR
2014-02-05,3146.489990234375,^SP500TR
2014-02-06,3187.25,^SP500TR
2014-02-07,3229.64990234375,^SP500TR
2014-02-10,3234.7900390625,^SP500TR
2014-02-11,3270.739990234375,^SP500TR
2014-02-12,3271.469970703125,^SP500TR
2014-02-13,3290.820068359375,^SP500TR
2014-02-14,3306.919921875,^SP500TR
2014-02-18,3311.27001953125,^SP500TR
2014-02-19,3289.830078125,^SP500TR
2014-02-20,3310.27001953125,^SP500TR
2014-02-21,3304.360107421875,^SP500TR
2014-02-24,3324.840087890625,^SP500TR
2014-02-25,3320.429931640625,^SP500TR
2014-02-26,3321.14990234375,^SP500TR
2014-02-27,3338.050048828125,^SP500TR
2014-02-28,3347.3798828125,^SP500TR
2014-03-03,3322.85009765625,^SP500TR
2014-03-04,3373.639892578125,^SP500TR
2014-03-05,3374.10009765625,^SP500TR
2014-03-06,3380.489990234375,^SP500TR
2014-03-07,3382.570068359375,^SP500TR
2014-03-10,3381.219970703125,^SP500TR
2014-03-11,3364.169921875,^SP500TR
2014-03-12,3366.070068359375,^SP500TR
2014-03-13,3327.110107421875,^SP500TR
2014-03-14,3317.81005859375,^SP500TR
2014-03-17,3349.7099609375,^SP500TR
2014-03-18,3373.97998046875,^SP500TR
2014-03-19,3353.2900390625,^SP500TR
2014-03-20,3373.60009765625,^SP500TR
2014-03-21,3363.719970703125,^SP500TR
2014-03-24,3347.360107421875,^SP500TR
2014-03-25,3362.43994140625,^SP500TR
2014-03-26,3339.0,^SP500TR
2014-03-27,3333.22998046875,^SP500TR
2014-03-28,3348.830078125,^SP500TR
2014-03-31,3375.510009765625,^SP500TR
2014-04-01,3399.510009765625,^SP500TR
2014-04-02,3409.800048828125,^SP500TR
2014-04-03,3406.0,^SP500TR
2014-04-04,3363.409912109375,^SP500TR
2014-04-07,3327.27001953125,^SP500TR
2014-04-08,3340.840087890625,^SP500TR
2014-04-09,3377.610107421875,^SP500TR
2014-04-10,3307.080078125,^SP500TR
2014-04-11,3276.0400390625,^SP500TR
2014-04-14,3302.97998046875,^SP500TR
2014-04-15,3325.300048828125,^SP500TR
2014-04-16,3360.27001953125,^SP500TR
2014-04-17,3365.0,^SP500TR
2014-04-21,3377.75,^SP500TR
2014-04-22,3391.580078125,^SP500TR
2014-04-23,3384.5,^SP500TR
2014-04-24,3390.389892578125,^SP500TR
2014-04-25,3362.949951171875,^SP500TR
2014-04-28,3374.0400390625,^SP500TR
2014-04-29,3390.159912109375,^SP500TR
2014-04-30,3400.4599609375,^SP500TR
